catalogue_obsid|catalogue_obsdate|catalogue_lmjd|catalogue_mjd|catalogue_planid|catalogue_spid|catalogue_fiberid|catalogue_class|catalogue_subclass|catalogue_z|catalogue_ra|catalogue_dec|stellar_teff|stellar_logg|stellar_feh|stellar_rv|obsfits_file
558115109|2017-03-26|57839|57838|HD152148N325601M02|15|109|QSO|Non|0.0655840000|230.4986657000|33.6200008000|||||20170326/HD152148N325601M02/spec-57839-HD152148N325601M02_sp15-109.fits.gz
558115184|2017-03-26|57839|57838|HD152148N325601M02|15|184|QSO|Non|0.0810620000|230.2311138000|33.5559657000|||||20170326/HD152148N325601M02/spec-57839-HD152148N325601M02_sp15-184.fits.gz
558115149|2017-03-26|57839|57838|HD152148N325601M02|15|149|QSO|Non|0.0810180000|230.3499870000|34.0025795000|||||20170326/HD152148N325601M02/spec-57839-HD152148N325601M02_sp15-149.fits.gz
558115087|2017-03-26|57839|57838|HD152148N325601M02|15|87|QSO|Non|0.0680760000|229.5764722000|33.9588473000|||||20170326/HD152148N325601M02/spec-57839-HD152148N325601M02_sp15-087.fits.gz
558115058|2017-03-26|57839|57838|HD152148N325601M02|15|58|QSO|Non|0.0811040000|229.2238419000|33.7008849000|||||20170326/HD152148N325601M02/spec-57839-HD152148N325601M02_sp15-058.fits.gz
558115006|2017-03-26|57839|57838|HD152148N325601M02|15|6|QSO|Non|2.1097320000|230.1683800000|34.1170850000|||||20170326/HD152148N325601M02/spec-57839-HD152148N325601M02_sp15-006.fits.gz
558107039|2017-03-26|57839|57838|HD152148N325601M02|7|39|QSO|Non|0.4095000000|231.3059600000|31.2463190000|||||20170326/HD152148N325601M02/spec-57839-HD152148N325601M02_sp07-039.fits.gz
558107124|2017-03-26|57839|57838|HD152148N325601M02|7|124|QSO|Non|0.1885600000|231.6843600000|31.3646450000|||||20170326/HD152148N325601M02/spec-57839-HD152148N325601M02_sp07-124.fits.gz
558115104|2017-03-26|57839|57838|HD152148N325601M02|15|104|QSO|Non|0.0814050000|230.3803216000|33.6307520000|||||20170326/HD152148N325601M02/spec-57839-HD152148N325601M02_sp15-104.fits.gz
558115071|2017-03-26|57839|57838|HD152148N325601M02|15|71|QSO|Non|0.1191900000|229.4478204000|33.7945744000|||||20170326/HD152148N325601M02/spec-57839-HD152148N325601M02_sp15-071.fits.gz
